     mag        RA       DEC         x         y         z        vx        vy        vz 
   24.36    257.69     -9.47     -23.3    -108.8     -17.1      -6.8     -14.1      -0.2 
   24.11    259.83     -4.48     -18.0     -99.2      -8.5      -1.4     -14.9      -1.8 
   23.69    254.84     -4.95     -29.3    -107.7      -9.1      -3.0     -19.0       0.6 
   24.37    259.73     -9.91     -18.4    -103.3     -18.4      -5.6     -15.6      -2.4 
   20.98    250.86    -13.32     -33.3     -99.4     -25.6      -5.1     -15.7       1.7 
   24.41    257.68     -13.5     -20.4     -95.8     -25.1      -4.1     -16.3       1.0 
    24.2    253.94    -10.68     -28.6    -106.9     -20.0      -5.3     -15.7      -3.5 
   24.28    253.12     -6.43     -30.8    -104.3     -13.0      -6.7     -16.9      -2.1 
   23.91    256.07    -14.47     -27.9    -103.5     -26.6      -3.2     -15.4      -4.5 
   22.85    261.15    -12.52     -16.3    -105.1     -22.7      -3.5     -16.9      -2.7 
   24.38    257.79     -8.92     -22.8    -104.9     -16.5      -6.3     -13.6       2.6 
   23.69    256.94     -7.49     -23.8    -110.9     -13.6      -4.2     -10.4      -1.4 
   24.22    258.64     -4.33     -23.9    -107.7      -8.0      -0.5     -18.4      -2.2 
   24.32    255.29     -11.0     -26.0    -110.8     -20.3      -3.8     -15.5      -2.3 
   23.95    254.16    -10.86     -31.4     -99.8     -19.8      -4.5     -16.8      -0.4 
   24.33    251.23     -7.64     -36.2    -104.1     -14.8      -5.6     -13.6       2.2 
    24.3     252.6     -9.27     -33.6    -106.7     -17.2      -4.2     -13.6      -1.2 
   24.16    257.53    -12.52     -24.2     -92.5     -23.7      -3.0     -18.4      -6.0 
    24.3     255.2    -10.72     -26.4    -100.4     -21.2      -6.5     -19.9       0.3 
   22.65    260.11     -6.37     -18.7    -100.6     -10.8      -5.0     -16.7      -0.0 
   24.37    256.94     -7.91     -23.6    -104.6     -16.4      -6.4     -16.7      -3.1 
   24.37    253.89    -10.26     -28.9    -103.5     -18.8      -2.1     -15.4      -1.4 
   24.08    256.71     -4.09     -24.1    -103.8      -7.0      -1.7     -14.7      -5.1 
   24.19    256.36     -8.25     -26.4    -101.1     -16.0      -2.0     -15.5      -3.5 
   24.41    258.25     -5.95     -22.9     -93.6     -10.5     -10.1     -16.6      -3.5 
   24.06    256.42      -6.0     -23.7     -99.9     -11.8      -5.1     -17.9      -1.8 
   24.41    256.38     -7.62     -24.9    -108.3     -14.2      -2.9     -14.5       0.8 
   22.79    254.76     -5.45     -28.3    -111.0     -10.4      -5.9     -15.5      -3.0 
   24.24    254.66    -16.54     -26.3    -104.7     -31.6      -6.0     -15.6      -1.6 
   22.78    257.89     -8.42     -22.3    -101.7     -16.7      -3.0     -14.6      -0.8 
   24.29     256.3     -6.54     -24.8    -105.6     -11.7      -3.8     -15.3      -1.3 
   23.75    257.34     -6.01     -21.4    -113.9     -11.0      -6.9     -17.4       4.6 
   23.97     261.2     -5.19     -15.4    -111.8      -9.7      -1.6     -13.8       0.1 
   24.39    253.25     -7.14     -29.9     -99.8     -13.8      -4.2     -16.6       1.0 
   24.22    259.08     -9.84     -21.8    -103.4     -18.0      -5.8     -12.2       2.7 
