     mag        RA       DEC         x         y         z        vx        vy        vz 
   23.46     70.54      9.96      32.0      96.8      16.2      10.4      22.7      -4.2 
   23.72     70.96     11.83      29.1      89.9      18.3      11.5      21.7      -2.0 
    20.5     77.57     11.41      20.7      93.0      18.8      11.1      23.0      -0.3 
   22.91      71.5      4.81      24.9      86.0       8.2       9.7      22.0      -1.7 
   23.47     71.28     10.85      29.1      90.8      18.6       8.3      23.8      -2.1 
   23.48     70.11      4.56      35.2      88.1       7.5       6.3      24.3      -2.5 
   23.58     68.27     10.21      35.3      84.3      16.1       7.8      21.3      -2.1 
   23.05     72.32      9.73      29.4      84.8      15.4       9.5      20.6      -1.3 
   19.07     77.18     12.85      21.2      93.1      20.2      14.3      23.2      -0.8 
   21.45     69.37       9.8      32.9      92.7      16.1       9.4      24.7       1.6 
   22.65     72.54     10.75      29.5      93.3      17.2      11.2      20.9      -5.4 
   23.66     67.99     13.33      35.7      92.2      22.0      10.4      23.9      -5.2 
   23.71     69.79      8.73      32.8      83.8      12.9      11.0      20.3      -1.3 
   23.63     69.58     11.16      34.1      91.3      19.6       9.8      22.2      -0.6 
   23.71     71.26      6.25      31.8      83.2      10.9      11.1      28.0      -0.6 
   19.72     73.28     10.66      30.2      97.3      18.2       9.1      21.4      -6.8 
   23.73     66.08     10.73      40.0      83.9      17.5       5.8      26.6      -4.1 
   23.68     68.01      7.34      35.5      91.8      12.3       9.9      25.3      -2.6 
    23.6      68.0      10.7      31.3      85.1      17.3       8.4      22.1      -3.5 
   23.55     72.41      4.76      28.4      89.3       7.8       9.3      24.5      -1.3 
   23.54     67.31      7.23      34.6      93.9      12.3      10.4      23.5       1.9 
   23.73     67.72      15.4      34.2      92.3      23.4      10.6      21.7      -3.7 
   23.58     74.86     10.48      23.3      93.4      17.9      10.6      26.9       0.1 
   20.64     73.46     12.66      23.0      81.3      21.8       7.5      21.5       1.2 
    23.7     71.66       8.3      30.9      80.6      14.5       7.5      18.3      -1.3 
   23.63     76.46      6.89      21.8      99.7      11.0       9.0      21.7      -1.1 
   21.06     67.21       2.7      38.2      86.2       4.5       8.3      21.7       3.8 
   23.71     72.51     13.21      27.7      86.6      21.3      11.5      24.5      -4.2 
   23.06     68.21     12.14      32.4      83.7      20.9       8.9      20.9      -4.5 
   23.64     72.96     10.47      24.0      90.7      16.6      10.3      26.2      -2.1 
   23.51      77.6      5.77      19.9      91.1       9.4      10.1      21.2      -2.2 
   23.72     77.82      3.84      18.6      89.0       6.7       9.3      27.1      -0.7 
   23.73     72.07      9.54      30.5      89.4      16.4       8.7      22.6      -3.0 
   22.99     69.73      6.98      34.1      87.8      12.1      10.0      24.8      -3.7 
   22.64     75.84     12.87      22.5      85.5      20.4      11.7      25.7      -0.7 
    23.7     73.18       3.6      26.4      94.0       6.1      10.2      22.2      -3.8 
   23.44     72.16     10.67      27.9      91.2      16.3       9.0      21.8      -5.0 
   22.85     69.34      7.21      35.3      83.9      12.0       9.2      24.1      -3.0 
   23.68     69.39      7.75      34.3      84.6      12.7       9.5      23.0      -1.8 
   23.65     78.25      8.73      20.4      92.9      13.3       6.1      21.1      -2.0 
   21.45     67.71     11.62      35.4      88.0      18.4      10.5      23.0      -4.2 
   22.39     73.21     13.63      24.5      82.1      21.8      11.2      24.6      -3.6 
   23.65      68.9      12.2      33.9      91.7      19.8       7.7      23.4      -3.3 
   23.41     73.08      9.54      26.0      95.4      16.7       6.9      19.5      -2.2 
   20.87      71.5     13.87      31.1      88.2      22.1       9.1      22.5      -4.2 
    23.7     68.47      9.52      35.3      85.1      15.7       9.8      25.4      -2.9 
    23.6     70.22     10.78      30.6      96.7      16.6      10.2      23.4      -0.5 
   23.69     72.81      7.15      27.5      94.8      11.2       7.8      21.7       4.0 
    23.1      75.0      4.73      25.0     102.8       8.4       8.7      22.7      -4.7 
   23.32     67.31      8.02      34.9      86.3      14.2      12.7      24.6      -0.6 
   23.69      68.9      11.3      34.4      80.0      19.0       9.7      20.2      -3.0 
   23.73     72.16      8.55      27.3      78.6      13.9       8.5      24.0       0.4 
   23.17     71.73     13.14      27.0      88.7      20.8       6.1      24.7      -2.7 
   23.01     68.38       7.2      35.9      81.0      11.7       8.5      25.2      -2.8 
   23.69     70.56     12.94      30.8      79.1      22.4       8.2      24.8      -3.4 
   23.66     65.71      7.96      38.0      76.2      12.7      12.1      21.2      -1.0 
   20.41     68.24      8.32      35.4      87.0      15.3      10.5      22.4      -3.0 
   23.27     71.32      6.75      30.9      88.2      11.1       9.3      26.0       2.3 
   23.57     68.26      7.97      34.8      85.7      13.8       8.6      22.3      -1.2 
   22.93     71.25      8.27      30.6      87.9      13.3       6.7      24.0      -3.3 
