     mag        RA       DEC         x         y         z        vx        vy        vz 
   25.27    140.73      -1.2    -101.8      88.2      -2.6      -8.0       0.5       0.0 
   25.11    141.62     -5.79     -99.3      79.5     -13.2      -6.2       1.1       1.3 
   25.22    140.07     -2.82    -103.5      84.4      -6.5      -7.5      -3.5       1.4 
   25.23    141.07     -3.92    -105.7      80.9      -8.5      -6.5      -0.4      -0.9 
   24.88    141.18     -4.79     -95.5      81.5     -10.3      -9.0      -1.0      -2.4 
   25.17     138.4     -1.36     -99.9      85.1      -2.8      -7.6      -3.7       1.0 
   25.03    137.79      0.12     -96.8      82.7       0.3      -3.0      -5.3      -2.4 
   25.27     138.1     -1.72     -91.2      80.9      -4.1      -6.1      -0.6       1.0 
   25.03    140.21     -4.46     -96.3      85.5      -9.8      -9.5      -0.0      -1.9 
   24.48    135.53     -1.32     -92.9      89.9      -3.0      -6.2      -0.3      -1.6 
    25.0    138.03     -1.92     -96.0      84.0      -4.4      -7.1      -2.8      -1.0 
   25.23    138.07     -1.34     -95.3      89.4      -3.0      -2.9      -2.3       1.8 
   25.12    137.18     -4.56    -100.4      87.6     -10.9      -9.2      -1.3      -4.3 
   25.07     137.2     -0.04    -100.1      81.0      -0.1      -6.9       1.2      -2.5 
   24.43    134.47     -2.08     -87.2      89.4      -4.8      -7.2      -1.2      -2.5 
   24.89     140.9      0.86     -96.6      85.3       1.8      -5.1      -2.7      -2.0 
   25.08    138.89     -2.03     -92.2      84.7      -4.4      -7.8      -1.5       0.3 
   25.22    142.67      -5.2     -98.4      74.1     -10.9      -4.6      -2.1       4.2 
   25.05    144.69      -4.8    -106.7      73.8     -10.9      -3.1      -3.2      -1.2 
   25.14    137.65     -0.03     -93.1      88.5      -0.1      -4.7      -1.8      -1.7 
   25.24    139.97      4.72     -93.7      86.3      10.4      -6.8      -1.1       0.7 
   25.18    142.51     -4.36    -103.6      79.2      -9.1      -2.9      -3.3       0.3 
   24.74    136.78     -2.97     -92.4      83.7      -6.6      -4.7      -6.7      -4.0 
   24.98    136.41     -0.67     -92.3      91.9      -1.4      -4.3      -1.6       2.3 
    24.9    131.81     -1.99     -77.9      90.0      -4.3      -7.1      -4.8      -4.9 
   24.95    134.49     -2.79     -93.2      90.9      -6.6      -7.7      -0.3      -2.7 
   23.64     138.3      4.99     -97.4      89.7      11.8      -6.5      -6.4      -0.7 
   24.96     139.8     -0.65    -104.0      87.4      -1.4      -4.8       1.2      -1.9 
   25.02    139.27     -7.48     -96.3      87.3     -15.2      -4.0      -3.7      -2.1 
   25.17     140.1     -4.87     -98.2      79.2     -10.3      -4.1      -5.2       1.6 
    21.3    141.52     -3.41     -95.3      88.7      -7.4      -9.0      -0.3      -0.9 
   25.23    140.56     -3.69     -97.6      79.7      -7.8      -3.9      -0.5       0.4 
   24.78    137.73     -3.84     -91.9      86.9      -8.1      -3.9      -3.9      -0.9 
   21.89    140.77     -2.57    -102.8      80.5      -6.2      -4.2      -2.7      -3.6 
   25.04    135.78     -5.37     -93.8      90.2     -11.6      -2.9      -1.8      -1.1 
   25.24    138.53      1.64     -96.8      83.9       3.7      -7.1      -7.2       0.6 
    25.1     141.0     -1.23    -106.3      78.6      -2.7      -8.0      -0.4      -1.4 
   25.18    139.96      0.58     -99.8      85.6       1.3      -5.0       0.6      -1.6 
   24.02    134.89      1.97     -92.1      89.1       4.3      -5.9      -4.5       0.7 
